 1.00000000e+01  1.00000000e+01  0.00000000e+00  1.00000000e+01  1.00000000e+00 -6.28318531e-06  1.00000000e+01 -3.94784032e-14 -6.28318531e-09 
 1.05925373e+01  1.05925373e+01  0.00000000e+00  1.05925373e+01  1.00000000e+00 -6.65548744e-06  1.05925373e+01 -4.42955134e-14 -6.65548744e-09 
 1.12201845e+01  1.12201845e+01  0.00000000e+00  1.12201845e+01  1.00000000e+00 -7.04984987e-06  1.12201845e+01 -4.97004781e-14 -7.04984987e-09 
 1.18850223e+01  1.18850223e+01  0.00000000e+00  1.18850223e+01  1.00000000e+00 -7.46757973e-06  1.18850223e+01 -5.57648545e-14 -7.46757973e-09 
 1.25892541e+01  1.25892541e+01  0.00000000e+00  1.25892541e+01  1.00000000e+00 -7.91006165e-06  1.25892541e+01 -6.25690905e-14 -7.91006165e-09 
 1.33352143e+01  1.33352143e+01  0.00000000e+00  1.33352143e+01  1.00000000e+00 -8.37876227e-06  1.33352143e+01 -7.02036086e-14 -8.37876227e-09 
 1.41253754e+01  1.41253754e+01  0.00000000e+00  1.41253754e+01  1.00000000e+00 -8.87523515e-06  1.41253754e+01 -7.87698899e-14 -8.87523515e-09 
 1.49623566e+01  1.49623566e+01  0.00000000e+00  1.49623566e+01  1.00000000e+00 -9.40112589e-06  1.49623566e+01 -8.83811253e-14 -9.40112589e-09 
 1.58489319e+01  1.58489319e+01  0.00000000e+00  1.58489319e+01  1.00000000e+00 -9.95817762e-06  1.58489319e+01 -9.91652507e-14 -9.95817762e-09 
 1.67880402e+01  1.67880402e+01  0.00000000e+00  1.67880402e+01  1.00000000e+00 -1.05482367e-05  1.67880402e+01 -1.11265381e-13 -1.05482367e-08 
 1.77827941e+01  1.77827941e+01  0.00000000e+00  1.77827941e+01  1.00000000e+00 -1.11732591e-05  1.77827941e+01 -1.24841760e-13 -1.11732591e-08 
 1.88364909e+01  1.88364909e+01  0.00000000e+00  1.88364909e+01  1.00000000e+00 -1.18353163e-05  1.88364909e+01 -1.40074801e-13 -1.18353163e-08 
 1.99526231e+01  1.99526231e+01  0.00000000e+00  1.99526231e+01  1.00000000e+00 -1.25366029e-05  1.99526231e+01 -1.57166381e-13 -1.25366029e-08 
 2.11348904e+01  2.11348904e+01  0.00000000e+00  2.11348904e+01  1.00000000e+00 -1.32794433e-05  2.11348904e+01 -1.76343532e-13 -1.32794433e-08 
 2.23872114e+01  2.23872114e+01  0.00000000e+00  2.23872114e+01  1.00000000e+00 -1.40662998e-05  2.23872114e+01 -1.97860825e-13 -1.40662998e-08 
 2.37137371e+01  2.37137371e+01  0.00000000e+00  2.37137371e+01  1.00000000e+00 -1.48997804e-05  2.37137371e+01 -2.22003405e-13 -1.48997804e-08 
 2.51188643e+01  2.51188643e+01  0.00000000e+00  2.51188643e+01  1.00000000e+00 -1.57826479e-05  2.51188643e+01 -2.49091980e-13 -1.57826479e-08 
 2.66072506e+01  2.66072506e+01  0.00000000e+00  2.66072506e+01  1.00000000e+00 -1.67178286e-05  2.66072506e+01 -2.79485853e-13 -1.67178286e-08 
 2.81838293e+01  2.81838293e+01  0.00000000e+00  2.81838293e+01  1.00000000e+00 -1.77084222e-05  2.81838293e+01 -3.13588131e-13 -1.77084222e-08 
 2.98538262e+01  2.98538262e+01  0.00000000e+00  2.98538262e+01  1.00000000e+00 -1.87577122e-05  2.98538262e+01 -3.51851794e-13 -1.87577122e-08 
 3.16227766e+01  3.16227766e+01  0.00000000e+00  3.16227766e+01  1.00000000e+00 -1.98691765e-05  3.16227766e+01 -3.94784249e-13 -1.98691765e-08 
 3.34965439e+01  3.34965439e+01  0.00000000e+00  3.34965439e+01  1.00000000e+00 -2.10464992e-05  3.34965439e+01 -4.42955134e-13 -2.10464992e-08 
 3.54813389e+01  3.54813389e+01  0.00000000e+00  3.54813389e+01  1.00000000e+00 -2.22935827e-05  3.54813389e+01 -4.97003914e-13 -2.22935827e-08 
