 1.00000000e+01  1.00000000e+01  0.00000000e+00  1.00000000e+01  9.07441016e-01  5.17388390e-08  1.00000000e+01 -9.07441016e-05 -5.17388390e-12  1.00000000e+01  9.99092559e-01 -5.17388390e-11  1.00000000e+01  9.08348457e-01  5.17905779e-08 
 1.05925373e+01  1.05925373e+01  0.00000000e+00  1.05925373e+01  9.07441016e-01  5.48045580e-08  1.05925373e+01 -9.07441016e-05 -5.48045580e-12  1.05925373e+01  9.99092559e-01 -5.48045580e-11  1.05925373e+01  9.08348457e-01  5.48593625e-08 
 1.12201845e+01  1.12201845e+01  0.00000000e+00  1.12201845e+01  9.07441016e-01  5.80519322e-08  1.12201845e+01 -9.07441016e-05 -5.80519322e-12  1.12201845e+01  9.99092559e-01 -5.80519322e-11  1.12201845e+01  9.08348457e-01  5.81099841e-08 
 1.18850223e+01  1.18850223e+01  0.00000000e+00  1.18850223e+01  9.07441016e-01  6.14917254e-08  1.18850223e+01 -9.07441016e-05 -6.14917254e-12  1.18850223e+01  9.99092559e-01 -6.14917254e-11  1.18850223e+01  9.08348457e-01  6.15532172e-08 
 1.25892541e+01  1.25892541e+01  0.00000000e+00  1.25892541e+01  9.07441016e-01  6.51353392e-08  1.25892541e+01 -9.07441016e-05 -6.51353392e-12  1.25892541e+01  9.99092559e-01 -6.51353392e-11  1.25892541e+01  9.08348457e-01  6.52004746e-08 
 1.33352143e+01  1.33352143e+01  0.00000000e+00  1.33352143e+01  9.07441016e-01  6.89948507e-08  1.33352143e+01 -9.07441016e-05 -6.89948507e-12  1.33352143e+01  9.99092559e-01 -6.89948507e-11  1.33352143e+01  9.08348457e-01  6.90638456e-08 
 1.41253754e+01  1.41253754e+01  0.00000000e+00  1.41253754e+01  9.07441016e-01  7.30830526e-08  1.41253754e+01 -9.07441016e-05 -7.30830526e-12  1.41253754e+01  9.99092559e-01 -7.30830526e-11  1.41253754e+01  9.08348457e-01  7.31561357e-08 
 1.49623566e+01  1.49623566e+01  0.00000000e+00  1.49623566e+01  9.07441016e-01  7.74134958e-08  1.49623566e+01 -9.07441016e-05 -7.74134958e-12  1.49623566e+01  9.99092559e-01 -7.74134958e-11  1.49623566e+01  9.08348457e-01  7.74909093e-08 
 1.58489319e+01  1.58489319e+01  0.00000000e+00  1.58489319e+01  9.07441016e-01  8.20005338e-08  1.58489319e+01 -9.07441016e-05 -8.20005338e-12  1.58489319e+01  9.99092559e-01 -8.20005338e-11  1.58489319e+01  9.08348457e-01  8.20825343e-08 
 1.67880402e+01  1.67880402e+01  0.00000000e+00  1.67880402e+01  9.07441016e-01  8.68593709e-08  1.67880402e+01 -9.07441016e-05 -8.68593709e-12  1.67880402e+01  9.99092559e-01 -8.68593709e-11  1.67880402e+01  9.08348457e-01  8.69462302e-08 
 1.77827941e+01  1.77827941e+01  0.00000000e+00  1.77827941e+01  9.07441016e-01  9.20061121e-08  1.77827941e+01 -9.07441016e-05 -9.20061121e-12  1.77827941e+01  9.99092559e-01 -9.20061121e-11  1.77827941e+01  9.08348457e-01  9.20981183e-08 
 1.88364909e+01  1.88364909e+01  0.00000000e+00  1.88364909e+01  9.07441016e-01  9.74578170e-08  1.88364909e+01 -9.07441016e-05 -9.74578170e-12  1.88364909e+01  9.99092559e-01 -9.74578170e-11  1.88364909e+01  9.08348457e-01  9.75552748e-08 
 1.99526231e+01  1.99526231e+01  0.00000000e+00  1.99526231e+01  9.07441016e-01  1.03232556e-07  1.99526231e+01 -9.07441016e-05 -1.03232556e-11  1.99526231e+01  9.99092559e-01 -1.03232556e-10  1.99526231e+01  9.08348457e-01  1.03335788e-07 
 2.11348904e+01  2.11348904e+01  0.00000000e+00  2.11348904e+01  9.07441016e-01  1.09349469e-07  2.11348904e+01 -9.07441016e-05 -1.09349469e-11  2.11348904e+01  9.99092559e-01 -1.09349469e-10  2.11348904e+01  9.08348457e-01  1.09458819e-07 
 2.23872114e+01  2.23872114e+01  0.00000000e+00  2.23872114e+01  9.07441016e-01  1.15828833e-07  2.23872114e+01 -9.07441016e-05 -1.15828833e-11  2.23872114e+01  9.99092559e-01 -1.15828833e-10  2.23872114e+01  9.08348457e-01  1.15944661e-07 
 2.37137371e+01  2.37137371e+01  0.00000000e+00  2.37137371e+01  9.07441016e-01  1.22692122e-07  2.37137371e+01 -9.07441016e-05 -1.22692122e-11  2.37137371e+01  9.99092559e-01 -1.22692122e-10  2.37137371e+01  9.08348457e-01  1.22814815e-07 
 2.51188643e+01  2.51188643e+01  0.00000000e+00  2.51188643e+01  9.07441016e-01  1.29962088e-07  2.51188643e+01 -9.07441016e-05 -1.29962088e-11  2.51188643e+01  9.99092559e-01 -1.29962088e-10  2.51188643e+01  9.08348457e-01  1.30092050e-07 
 2.66072506e+01  2.66072506e+01  0.00000000e+00  2.66072506e+01  9.07441016e-01  1.37662826e-07  2.66072506e+01 -9.07441016e-05 -1.37662826e-11  2.66072506e+01  9.99092559e-01 -1.37662826e-10  2.66072506e+01  9.08348457e-01  1.37800488e-07 
 2.81838293e+01  2.81838293e+01  0.00000000e+00  2.81838293e+01  9.07441016e-01  1.45819861e-07  2.81838293e+01 -9.07441016e-05 -1.45819861e-11  2.81838293e+01  9.99092559e-01 -1.45819861e-10  2.81838293e+01  9.08348457e-01  1.45965681e-07 
 2.98538262e+01  2.98538262e+01  0.00000000e+00  2.98538262e+01  9.07441016e-01  1.54460231e-07  2.98538262e+01 -9.07441016e-05 -1.54460231e-11  2.98538262e+01  9.99092559e-01 -1.54460231e-10  2.98538262e+01  9.08348457e-01  1.54614691e-07 
 3.16227766e+01  3.16227766e+01  0.00000000e+00  3.16227766e+01  9.07441016e-01  1.63612575e-07  3.16227766e+01 -9.07441016e-05 -1.63612575e-11  3.16227766e+01  9.99092559e-01 -1.63612575e-10  3.16227766e+01  9.08348457e-01  1.63776187e-07 
