 3.98107171e+01  3.98107171e+01  0.00000000e+00  3.98107171e+01  1.00000000e+00 -1.37575962e-05  3.98107171e+01 -2.40892375e-13 -2.50138112e-08  3.98107171e+01  1.00000000e+00 -1.00055245e-05 
 4.21696503e+01  4.21696503e+01  0.00000000e+00  4.21696503e+01  1.00000000e+00 -1.45727850e-05  4.21696503e+01 -2.70282061e-13 -2.64959727e-08  4.21696503e+01  1.00000000e+00 -1.05983891e-05 
 4.46683592e+01  4.46683592e+01  0.00000000e+00  4.46683592e+01  1.00000000e+00 -1.54362768e-05  4.46683592e+01 -3.03266093e-13 -2.80659578e-08  4.46683592e+01  1.00000000e+00 -1.12263831e-05 
 4.73151259e+01  4.73151259e+01  0.00000000e+00  4.73151259e+01  1.00000000e+00 -1.63509337e-05  4.73151259e+01 -3.40262540e-13 -2.97289704e-08  4.73151259e+01  1.00000000e+00 -1.18915882e-05 
 5.01187234e+01  5.01187234e+01  0.00000000e+00  5.01187234e+01  1.00000000e+00 -1.73197874e-05  5.01187234e+01 -3.81788351e-13 -3.14905226e-08  5.01187234e+01  1.00000000e+00 -1.25962090e-05 
 5.30884444e+01  5.30884444e+01  0.00000000e+00  5.30884444e+01  1.00000000e+00 -1.83460494e-05  5.30884444e+01 -4.28367411e-13 -3.33564534e-08  5.30884444e+01  1.00000000e+00 -1.33425814e-05 
 5.62341325e+01  5.62341325e+01  0.00000000e+00  5.62341325e+01  1.00000000e+00 -1.94331211e-05  5.62341325e+01 -4.80641568e-13 -3.53329475e-08  5.62341325e+01  1.00000000e+00 -1.41331790e-05 
 5.95662144e+01  5.95662144e+01  0.00000000e+00  5.95662144e+01  1.00000000e+00 -2.05846059e-05  5.95662144e+01 -5.39285630e-13 -3.74265563e-08  5.95662144e+01  1.00000000e+00 -1.49706225e-05 
 6.30957344e+01  6.30957344e+01  0.00000000e+00  6.30957344e+01  1.00000000e+00 -2.18043205e-05  6.30957344e+01 -6.05090630e-13 -3.96442192e-08  6.30957344e+01  1.00000000e+00 -1.58576877e-05 
 6.68343918e+01  6.68343918e+01  0.00000000e+00  6.68343918e+01  1.00000000e+00 -2.30963077e-05  6.68343918e+01 -6.78925666e-13 -4.19932868e-08  6.68343918e+01  1.00000000e+00 -1.67973147e-05 
 7.07945784e+01  7.07945784e+01  0.00000000e+00  7.07945784e+01  9.99999999e-01 -2.44648500e-05  7.07945784e+01 -7.61762181e-13 -4.44815455e-08  7.07945784e+01  1.00000000e+00 -1.77926182e-05 
 7.49894209e+01  7.49894209e+01  0.00000000e+00  7.49894209e+01  9.99999999e-01 -2.59144835e-05  7.49894209e+01 -8.54715604e-13 -4.71172428e-08  7.49894209e+01  1.00000000e+00 -1.88468971e-05 
 7.94328235e+01  7.94328235e+01  0.00000000e+00  7.94328235e+01  9.99999999e-01 -2.74500132e-05  7.94328235e+01 -9.59001975e-13 -4.99091149e-08  7.94328235e+01  1.00000000e+00 -1.99636460e-05 
 8.41395142e+01  8.41395142e+01  0.00000000e+00  8.41395142e+01  9.99999999e-01 -2.90765287e-05  8.41395142e+01 -1.07602295e-12 -5.28664159e-08  8.41395142e+01  1.00000000e+00 -2.11465664e-05 
 8.91250938e+01  8.91250938e+01  0.00000000e+00  8.91250938e+01  9.99999999e-01 -3.07994214e-05  8.91250938e+01 -1.20731376e-12 -5.59989480e-08  8.91250938e+01  9.99999999e-01 -2.23995792e-05 
 9.44060876e+01  9.44060876e+01  0.00000000e+00  9.44060876e+01  9.99999999e-01 -3.26244018e-05  9.44060876e+01 -1.35462822e-12 -5.93170942e-08  9.44060876e+01  9.99999999e-01 -2.37268377e-05 
 1.00000000e+02  1.00000000e+02  0.00000000e+00  1.00000000e+02  9.99999999e-01 -3.45575192e-05  1.00000000e+02 -1.51991787e-12 -6.28318530e-08  1.00000000e+02  9.99999999e-01 -2.51327412e-05 
 1.05925373e+02  1.05925373e+02  0.00000000e+00  1.05925373e+02  9.99999999e-01 -3.66051809e-05  1.05925373e+02 -1.70537889e-12 -6.65548744e-08  1.05925373e+02  9.99999999e-01 -2.66219497e-05 
 1.12201845e+02  1.12201845e+02  0.00000000e+00  1.12201845e+02  9.99999999e-01 -3.87741742e-05  1.12201845e+02 -1.91346418e-12 -7.04984986e-08  1.12201845e+02  9.99999999e-01 -2.81993994e-05 
