 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-10  1.00000000e-10  1.00000000e-10  6.28318489e-04  1.00000000e-10  6.27690172e-07  1.00000000e-10 -6.27690799e-07 
 2.00000000e-10  2.00000000e-10  2.00000000e-10  1.25663673e-03  2.00000000e-10  1.88244258e-06  2.00000000e-10 -1.25475429e-06 
 4.00000000e-10  4.00000000e-10  4.00000000e-10  2.51327148e-03  4.00000000e-10  5.64481600e-06  4.00000000e-10 -2.50762666e-06 
 8.00000000e-10  8.00000000e-10  8.00000000e-10  5.02652708e-03  8.00000000e-10  2.06717274e-05  8.00000000e-10 -5.00585535e-06 
 1.60000000e-09  1.60000000e-09  1.60000000e-09  1.00529272e-02  1.60000000e-09  8.05841159e-05  1.60000000e-09 -9.97234304e-06 
 3.20000000e-09  3.20000000e-09  3.20000000e-09  2.01048383e-02  3.20000000e-09  3.18649180e-04  3.20000000e-09 -1.97861891e-05 
 6.40000000e-09  6.40000000e-09  6.40000000e-09  4.02015494e-02  6.40000000e-09  1.25829504e-03  6.40000000e-09 -3.89432543e-05 
 1.28000000e-08  1.28000000e-08  1.28000000e-08  8.03381001e-02  1.28000000e-08  4.91773329e-03  1.28000000e-08 -7.54203668e-05 
 2.28000000e-08  2.28000000e-08  2.28000000e-08  1.42767131e-01  2.28000000e-08  1.50724845e-02  2.28000000e-08 -1.27694647e-04 
 3.28000000e-08  3.28000000e-08  3.28000000e-08  2.04632726e-01  3.28000000e-08  3.01777053e-02  3.28000000e-08 -1.74455020e-04 
 4.28000000e-08  4.28000000e-08  4.28000000e-08  2.65690728e-01  4.28000000e-08  4.96961893e-02  4.28000000e-08 -2.15994539e-04 
 5.28000000e-08  5.28000000e-08  5.28000000e-08  3.25700171e-01  5.28000000e-08  7.31188410e-02  5.28000000e-08 -2.52581330e-04 
 6.28000000e-08  6.28000000e-08  6.28000000e-08  3.84424223e-01  6.28000000e-08  9.99623446e-02  6.28000000e-08 -2.84461879e-04 
 7.28000000e-08  7.28000000e-08  7.28000000e-08  4.41631129e-01  7.28000000e-08  1.29767144e-01  7.28000000e-08 -3.11863985e-04 
 8.28000000e-08  8.28000000e-08  8.28000000e-08  4.97095119e-01  8.28000000e-08  1.62095707e-01  8.28000000e-08 -3.34999412e-04 
 9.28000000e-08  9.28000000e-08  9.28000000e-08  5.50597301e-01  9.28000000e-08  1.96531033e-01  9.28000000e-08 -3.54066269e-04 
 1.02800000e-07  1.02800000e-07  1.02800000e-07  6.01926528e-01  1.02800000e-07  2.32675396e-01  1.02800000e-07 -3.69251132e-04 
 1.12800000e-07  1.12800000e-07  1.12800000e-07  6.50880225e-01  1.12800000e-07  2.70149282e-01  1.12800000e-07 -3.80730943e-04 
 1.22800000e-07  1.22800000e-07  1.22800000e-07  6.97265196e-01  1.22800000e-07  3.08590509e-01  1.22800000e-07 -3.88674686e-04 
 1.32800000e-07  1.32800000e-07  1.32800000e-07  7.40898379e-01  1.32800000e-07  3.47653504e-01  1.32800000e-07 -3.93244875e-04 
 1.42800000e-07  1.42800000e-07  1.42800000e-07  7.81607575e-01  1.42800000e-07  3.87008715e-01  1.42800000e-07 -3.94598860e-04 
 1.52800000e-07  1.52800000e-07  1.52800000e-07  8.19232123e-01  1.52800000e-07  4.26342159e-01  1.52800000e-07 -3.92889964e-04 
 1.62800000e-07  1.62800000e-07  1.62800000e-07  8.53623536e-01  1.62800000e-07  4.65355060e-01  1.62800000e-07 -3.88268476e-04 
 1.72800000e-07  1.72800000e-07  1.72800000e-07  8.84646086e-01  1.72800000e-07  5.03763591e-01  1.72800000e-07 -3.80882495e-04 
 1.82800000e-07  1.82800000e-07  1.82800000e-07  9.12177343e-01  1.82800000e-07  5.41298690e-01  1.82800000e-07 -3.70878653e-04 
 1.92800000e-07  1.92800000e-07  1.92800000e-07  9.36108653e-01  1.92800000e-07  5.77705941e-01  1.92800000e-07 -3.58402712e-04 
 2.02800000e-07  2.02800000e-07  2.02800000e-07  9.56345569e-01  2.02800000e-07  6.12745511e-01  2.02800000e-07 -3.43600059e-04 
 2.12800000e-07  2.12800000e-07  2.12800000e-07  9.72808227e-01  2.12800000e-07  6.46192132e-01  2.12800000e-07 -3.26616095e-04 
 2.22800000e-07  2.22800000e-07  2.22800000e-07  9.85431655e-01  2.22800000e-07  6.77835119e-01  2.22800000e-07 -3.07596535e-04 
 2.32800000e-07  2.32800000e-07  2.32800000e-07  9.94166034e-01  2.32800000e-07  7.07478407e-01  2.32800000e-07 -2.86687626e-04 
 2.42800000e-07  2.42800000e-07  2.42800000e-07  9.98976894e-01  2.42800000e-07  7.34940613e-01  2.42800000e-07 -2.64036281e-04 
 2.52800000e-07  2.52800000e-07  2.52800000e-07  9.99845249e-01  2.52800000e-07  7.60055102e-01  2.52800000e-07 -2.39790147e-04 
 2.62800000e-07  2.62800000e-07  2.62800000e-07  9.96767671e-01  2.62800000e-07  7.82670063e-01  2.62800000e-07 -2.14097607e-04 
 2.72800000e-07  2.72800000e-07  2.72800000e-07  9.89756307e-01  2.72800000e-07  8.02648578e-01  2.72800000e-07 -1.87107728e-04 
 2.82800000e-07  2.82800000e-07  2.82800000e-07  9.78838826e-01  2.82800000e-07  8.19868680e-01  2.82800000e-07 -1.58970146e-04 
 2.92800000e-07  2.92800000e-07  2.92800000e-07  9.64058316e-01  2.92800000e-07  8.34223402e-01  2.92800000e-07 -1.29834914e-04 
 3.02800000e-07  3.02800000e-07  3.02800000e-07  9.45473108e-01  3.02800000e-07  8.45620810e-01  3.02800000e-07 -9.98522990e-05 
 3.12800000e-07  3.12800000e-07  3.12800000e-07  9.23156550e-01  3.12800000e-07  8.53984004e-01  3.12800000e-07 -6.91725463e-05 
 3.22800000e-07  3.22800000e-07  3.22800000e-07  8.97196715e-01  3.22800000e-07  8.59251108e-01  3.22800000e-07 -3.79456074e-05 
 3.32800000e-07  3.32800000e-07  3.32800000e-07  8.67696054e-01  3.32800000e-07  8.61375215e-01  3.32800000e-07 -6.32083916e-06 
 3.42800000e-07  3.42800000e-07  3.42800000e-07  8.34770994e-01  3.42800000e-07  8.60324316e-01  3.42800000e-07  2.55533227e-05 
 3.52800000e-07  3.52800000e-07  3.52800000e-07  7.98551473e-01  3.52800000e-07  8.56081184e-01  3.52800000e-07  5.75297109e-05 
 3.62800000e-07  3.62800000e-07  3.62800000e-07  7.59180435e-01  3.62800000e-07  8.48643227e-01  3.62800000e-07  8.94627919e-05 
 3.72800000e-07  3.72800000e-07  3.72800000e-07  7.16813258e-01  3.72800000e-07  8.38022303e-01  3.72800000e-07  1.21209045e-04 
 3.82800000e-07  3.82800000e-07  3.82800000e-07  6.71617147e-01  3.82800000e-07  8.24244501e-01  3.82800000e-07  1.52627354e-04 
 3.92800000e-07  3.92800000e-07  3.92800000e-07  6.23770470e-01  3.92800000e-07  8.07349871e-01  3.92800000e-07  1.83579401e-04 
 4.02800000e-07  4.02800000e-07  4.02800000e-07  5.73462056e-01  4.02800000e-07  7.87392128e-01  4.02800000e-07  2.13930072e-04 
 4.12800000e-07  4.12800000e-07  4.12800000e-07  5.20890449e-01  4.12800000e-07  7.64438308e-01  4.12800000e-07  2.43547859e-04 
 4.22800000e-07  4.22800000e-07  4.22800000e-07  4.66263125e-01  4.22800000e-07  7.38568385e-01  4.22800000e-07  2.72305260e-04 
 4.32800000e-07  4.32800000e-07  4.32800000e-07  4.09795674e-01  4.32800000e-07  7.09874848e-01  4.32800000e-07  3.00079174e-04 
 4.42800000e-07  4.42800000e-07  4.42800000e-07  3.51710946e-01  4.42800000e-07  6.78462242e-01  4.42800000e-07  3.26751296e-04 
 4.52800000e-07  4.52800000e-07  4.52800000e-07  2.92238177e-01  4.52800000e-07  6.44446668e-01  4.52800000e-07  3.52208492e-04 
 4.62800000e-07  4.62800000e-07  4.62800000e-07  2.31612076e-01  4.62800000e-07  6.07955246e-01  4.62800000e-07  3.76343170e-04 
 4.72800000e-07  4.72800000e-07  4.72800000e-07  1.70071909e-01  4.72800000e-07  5.69125542e-01  4.72800000e-07  3.99053634e-04 
 4.82800000e-07  4.82800000e-07  4.82800000e-07  1.07860545e-01  4.82800000e-07  5.28104963e-01  4.82800000e-07  4.20244418e-04 
 4.92800000e-07  4.92800000e-07  4.92800000e-07  4.52235051e-02  4.92800000e-07  4.85050115e-01  4.92800000e-07  4.39826609e-04 
 5.02800000e-07  5.02800000e-07  5.02800000e-07 -1.75920113e-02  5.02800000e-07  4.40126134e-01  5.02800000e-07  4.57718145e-04 
 5.12800000e-07  5.12800000e-07  5.12800000e-07 -8.03381001e-02  5.12800000e-07  3.93505989e-01  5.12800000e-07  4.73844089e-04 
 5.22800000e-07  5.22800000e-07  5.22800000e-07 -1.42767131e-01  5.22800000e-07  3.45369755e-01  5.22800000e-07  4.88136886e-04 
 5.32800000e-07  5.32800000e-07  5.32800000e-07 -2.04632726e-01  5.32800000e-07  2.95903862e-01  5.32800000e-07  5.00536588e-04 
 5.42800000e-07  5.42800000e-07  5.42800000e-07 -2.65690728e-01  5.42800000e-07  2.45300329e-01  5.42800000e-07  5.10991057e-04 
 5.52800000e-07  5.52800000e-07  5.52800000e-07 -3.25700171e-01  5.52800000e-07  1.93755971e-01  5.52800000e-07  5.19456142e-04 
 5.62800000e-07  5.62800000e-07  5.62800000e-07 -3.84424223e-01  5.62800000e-07  1.41471595e-01  5.62800000e-07  5.25895818e-04 
 5.72800000e-07  5.72800000e-07  5.72800000e-07 -4.41631129e-01  5.72800000e-07  8.86511798e-02  5.72800000e-07  5.30282309e-04 
 5.82800000e-07  5.82800000e-07  5.82800000e-07 -4.97095119e-01  5.82800000e-07  3.55010505e-02  5.82800000e-07  5.32596170e-04 
 5.92800000e-07  5.92800000e-07  5.92800000e-07 -5.50597301e-01  5.92800000e-07 -1.77709598e-02  5.92800000e-07  5.32826342e-04 
 6.02800000e-07  6.02800000e-07  6.02800000e-07 -6.01926528e-01  6.02800000e-07 -7.09563489e-02  6.02800000e-07  5.30970179e-04 
 6.12800000e-07  6.12800000e-07  6.12800000e-07 -6.50880225e-01  6.12800000e-07 -1.23846787e-01  6.12800000e-07  5.27033439e-04 
