 1.00000000e+01  1.00000000e+01  0.00000000e+00  1.00000000e+01  1.00000000e+00 -3.45575192e-06  1.00000000e+01  1.00000000e+00 -3.14159265e-06  1.00000000e+01 -1.51996471e-14 -6.28318531e-09  1.00000000e+01 -1.97394184e-14 -6.28318531e-09  1.00000000e+01  1.00000000e+00 -2.51327412e-06  1.00000000e+01  1.00000000e+00 -3.14159265e-06 
 1.05925373e+01  1.05925373e+01  0.00000000e+00  1.05925373e+01  1.00000000e+00 -3.66051809e-06  1.05925373e+01  1.00000000e+00 -3.32774372e-06  1.05925373e+01 -1.70505970e-14 -6.65548744e-09  1.05925373e+01 -2.21472146e-14 -6.65548744e-09  1.05925373e+01  1.00000000e+00 -2.66219498e-06  1.05925373e+01  1.00000000e+00 -3.32774372e-06 
 1.12201845e+01  1.12201845e+01  0.00000000e+00  1.12201845e+01  1.00000000e+00 -3.87741743e-06  1.12201845e+01  1.00000000e+00 -3.52492493e-06  1.12201845e+01 -1.91357347e-14 -7.04984987e-09  1.12201845e+01 -2.48503475e-14 -7.04984987e-09  1.12201845e+01  1.00000000e+00 -2.81993995e-06  1.12201845e+01  1.00000000e+00 -3.52492493e-06 
 1.18850223e+01  1.18850223e+01  0.00000000e+00  1.18850223e+01  1.00000000e+00 -4.10716885e-06  1.18850223e+01  1.00000000e+00 -3.73378987e-06  1.18850223e+01 -2.14672030e-14 -7.46757973e-09  1.18850223e+01 -2.78826441e-14 -7.46757973e-09  1.18850223e+01  1.00000000e+00 -2.98703189e-06  1.18850223e+01  1.00000000e+00 -3.73378987e-06 
 1.25892541e+01  1.25892541e+01  0.00000000e+00  1.25892541e+01  1.00000000e+00 -4.35053391e-06  1.25892541e+01  1.00000000e+00 -3.95503083e-06  1.25892541e+01 -2.40901049e-14 -7.91006165e-09  1.25892541e+01 -3.12840032e-14 -7.91006165e-09  1.25892541e+01  1.00000000e+00 -3.16402466e-06  1.25892541e+01  1.00000000e+00 -3.95503083e-06 
 1.33352143e+01  1.33352143e+01  0.00000000e+00  1.33352143e+01  1.00000000e+00 -4.60831925e-06  1.33352143e+01  1.00000000e+00 -4.18938113e-06  1.33352143e+01 -2.70287265e-14 -8.37876227e-09  1.33352143e+01 -3.51021295e-14 -8.37876227e-09  1.33352143e+01  1.00000000e+00 -3.35150491e-06  1.33352143e+01  1.00000000e+00 -4.18938113e-06 
 1.41253754e+01  1.41253754e+01  0.00000000e+00  1.41253754e+01  1.00000000e+00 -4.88137933e-06  1.41253754e+01  1.00000000e+00 -4.43761757e-06  1.41253754e+01 -3.03229664e-14 -8.87523515e-09  1.41253754e+01 -3.93847281e-14 -8.87523515e-09  1.41253754e+01  1.00000000e+00 -3.55009406e-06  1.41253754e+01  1.00000000e+00 -4.43761757e-06 
 1.49623566e+01  1.49623566e+01  0.00000000e+00  1.49623566e+01  1.00000000e+00 -5.17061924e-06  1.49623566e+01  1.00000000e+00 -4.70056295e-06  1.49623566e+01 -3.40283357e-14 -9.40112589e-09  1.49623566e+01 -4.41903458e-14 -9.40112589e-09  1.49623566e+01  1.00000000e+00 -3.76045036e-06  1.49623566e+01  1.00000000e+00 -4.70056295e-06 
 1.58489319e+01  1.58489319e+01  0.00000000e+00  1.58489319e+01  1.00000000e+00 -5.47699769e-06  1.58489319e+01  1.00000000e+00 -4.97908881e-06  1.58489319e+01 -3.81829984e-14 -9.95817762e-09  1.58489319e+01 -4.95823001e-14 -9.95817762e-09  1.58489319e+01  1.00000000e+00 -3.98327105e-06  1.58489319e+01  1.00000000e+00 -4.97908881e-06 
 1.67880402e+01  1.67880402e+01  0.00000000e+00  1.67880402e+01  1.00000000e+00 -5.80153021e-06  1.67880402e+01  1.00000000e+00 -5.27411837e-06  1.67880402e+01 -4.28372615e-14 -1.05482367e-08  1.67880402e+01 -5.56330156e-14 -1.05482367e-08  1.67880402e+01  1.00000000e+00 -4.21929470e-06  1.67880402e+01  1.00000000e+00 -5.27411837e-06 
 1.77827941e+01  1.77827941e+01  0.00000000e+00  1.77827941e+01  1.00000000e+00 -6.14529248e-06  1.77827941e+01  1.00000000e+00 -5.58662953e-06  1.77827941e+01 -4.80639833e-14 -1.11732591e-08  1.77827941e+01 -6.24205548e-14 -1.11732591e-08  1.77827941e+01  1.00000000e+00 -4.46930362e-06  1.77827941e+01  1.00000000e+00 -5.58662953e-06 
 1.88364909e+01  1.88364909e+01  0.00000000e+00  1.88364909e+01  1.00000000e+00 -6.50942396e-06  1.88364909e+01  1.00000000e+00 -5.91765814e-06  1.88364909e+01 -5.39308181e-14 -1.18353163e-08  1.88364909e+01 -7.00377256e-14 -1.18353163e-08  1.88364909e+01  1.00000000e+00 -4.73412651e-06  1.88364909e+01  1.00000000e+00 -5.91765814e-06 
 1.99526231e+01  1.99526231e+01  0.00000000e+00  1.99526231e+01  1.00000000e+00 -6.89513157e-06  1.99526231e+01  1.00000000e+00 -6.26830143e-06  1.99526231e+01 -6.05088896e-14 -1.25366029e-08  1.99526231e+01 -7.85829735e-14 -1.25366029e-08  1.99526231e+01  1.00000000e+00 -5.01464114e-06  1.99526231e+01  1.00000000e+00 -6.26830143e-06 
 2.11348904e+01  2.11348904e+01  0.00000000e+00  2.11348904e+01  1.00000000e+00 -7.30369380e-06  2.11348904e+01  1.00000000e+00 -6.63972164e-06  2.11348904e+01 -6.78901380e-14 -1.32794433e-08  2.11348904e+01 -8.81725248e-14 -1.32794433e-08  2.11348904e+01  1.00000000e+00 -5.31177731e-06  2.11348904e+01  1.00000000e+00 -6.63972164e-06 
 2.23872114e+01  2.23872114e+01  0.00000000e+00  2.23872114e+01  1.00000000e+00 -7.73646487e-06  2.23872114e+01  1.00000000e+00 -7.03314988e-06  2.23872114e+01 -7.61769120e-14 -1.40662998e-08  2.23872114e+01 -9.89295451e-14 -1.40662998e-08  2.23872114e+01  1.00000000e+00 -5.62651991e-06  2.23872114e+01  1.00000000e+00 -7.03314988e-06 
 2.37137371e+01  2.37137371e+01  0.00000000e+00  2.37137371e+01  1.00000000e+00 -8.19487923e-06  2.37137371e+01  1.00000000e+00 -7.44989021e-06  2.37137371e+01 -8.54680909e-14 -1.48997804e-08  2.37137371e+01 -1.11001919e-13 -1.48997804e-08  2.37137371e+01  1.00000000e+00 -5.95991217e-06  2.37137371e+01  1.00000000e+00 -7.44989021e-06 
 2.51188643e+01  2.51188643e+01  0.00000000e+00  2.51188643e+01  1.00000000e+00 -8.68045636e-06  2.51188643e+01  1.00000000e+00 -7.89132396e-06  2.51188643e+01 -9.58972485e-14 -1.57826479e-08  2.51188643e+01 -1.24545773e-13 -1.57826479e-08  2.51188643e+01  1.00000000e+00 -6.31305917e-06  2.51188643e+01  1.00000000e+00 -7.89132396e-06 
 2.66072506e+01  2.66072506e+01  0.00000000e+00  2.66072506e+01  1.00000000e+00 -9.19480573e-06  2.66072506e+01  1.00000000e+00 -8.35891430e-06  2.66072506e+01 -1.07601428e-13 -1.67178286e-08  2.66072506e+01 -1.39742818e-13 -1.67178286e-08  2.66072506e+01  1.00000000e+00 -6.68713144e-06  2.66072506e+01  1.00000000e+00 -8.35891430e-06 
 2.81838293e+01  2.81838293e+01  0.00000000e+00  2.81838293e+01  1.00000000e+00 -9.73963222e-06  2.81838293e+01  1.00000000e+00 -8.85421111e-06  2.81838293e+01 -1.20726346e-13 -1.77084222e-08  2.81838293e+01 -1.56794282e-13 -1.77084222e-08  2.81838293e+01  1.00000000e+00 -7.08336889e-06  2.81838293e+01  1.00000000e+00 -8.85421111e-06 
 2.98538262e+01  2.98538262e+01  0.00000000e+00  2.98538262e+01  1.00000000e+00 -1.03167417e-05  2.98538262e+01  1.00000000e+00 -9.37885610e-06  2.98538262e+01 -1.35461087e-13 -1.87577122e-08  2.98538262e+01 -1.75925680e-13 -1.87577122e-08  2.98538262e+01  1.00000000e+00 -7.50308488e-06  2.98538262e+01  1.00000000e+00 -9.37885610e-06 
 3.16227766e+01  3.16227766e+01  0.00000000e+00  3.16227766e+01  1.00000000e+00 -1.09280471e-05  3.16227766e+01  1.00000000e+00 -9.93458826e-06  3.16227766e+01 -1.51989532e-13 -1.98691765e-08  3.16227766e+01 -1.97392450e-13 -1.98691765e-08  3.16227766e+01  1.00000000e+00 -7.94767061e-06  3.16227766e+01  1.00000000e+00 -9.93458826e-06 
 3.34965439e+01  3.34965439e+01  0.00000000e+00  3.34965439e+01  1.00000000e+00 -1.15755746e-05  3.34965439e+01  1.00000000e+00 -1.05232496e-05  3.34965439e+01 -1.70533726e-13 -2.10464993e-08  3.34965439e+01 -2.21477350e-13 -2.10464993e-08  3.34965439e+01  1.00000000e+00 -8.41859970e-06  3.34965439e+01  1.00000000e+00 -1.05232496e-05 
 3.54813389e+01  3.54813389e+01  0.00000000e+00  3.54813389e+01  1.00000000e+00 -1.22614705e-05  3.54813389e+01  1.00000000e+00 -1.11467914e-05  3.54813389e+01 -1.91346938e-13 -2.22935827e-08  3.54813389e+01 -2.48502174e-13 -2.22935827e-08  3.54813389e+01  1.00000000e+00 -8.91743310e-06  3.54813389e+01  1.00000000e+00 -1.11467914e-05 
 3.75837404e+01  3.75837404e+01  0.00000000e+00  3.75837404e+01  1.00000000e+00 -1.29880083e-05  3.75837404e+01  1.00000000e+00 -1.18072803e-05  3.75837404e+01 -2.14692847e-13 -2.36145606e-08  3.75837404e+01 -2.78823839e-13 -2.36145606e-08  3.75837404e+01  1.00000000e+00 -9.44582423e-06  3.75837404e+01  1.00000000e+00 -1.18072803e-05 
 3.98107171e+01  3.98107171e+01  0.00000000e+00  3.98107171e+01  1.00000000e+00 -1.37575962e-05  3.98107171e+01  1.00000000e+00 -1.25069056e-05  3.98107171e+01 -2.40894110e-13 -2.50138112e-08  3.98107171e+01 -3.12845236e-13 -2.50138112e-08  3.98107171e+01  1.00000000e+00 -1.00055245e-05  3.98107171e+01  1.00000000e+00 -1.25069056e-05 
 4.21696503e+01  4.21696503e+01  0.00000000e+00  4.21696503e+01  1.00000000e+00 -1.45727850e-05  4.21696503e+01  1.00000000e+00 -1.32479864e-05  4.21696503e+01 -2.70280326e-13 -2.64959727e-08  4.21696503e+01 -3.51017826e-13 -2.64959727e-08  4.21696503e+01  1.00000000e+00 -1.05983891e-05  4.21696503e+01  1.00000000e+00 -1.32479864e-05 
 4.46683592e+01  4.46683592e+01  0.00000000e+00  4.46683592e+01  1.00000000e+00 -1.54362768e-05  4.46683592e+01  1.00000000e+00 -1.40329789e-05  4.46683592e+01 -3.03262623e-13 -2.80659578e-08  4.46683592e+01 -3.93848582e-13 -2.80659578e-08  4.46683592e+01  1.00000000e+00 -1.12263831e-05  4.46683592e+01  1.00000000e+00 -1.40329789e-05 
 4.73151259e+01  4.73151259e+01  0.00000000e+00  4.73151259e+01  1.00000000e+00 -1.63509337e-05  4.73151259e+01  1.00000000e+00 -1.48644852e-05  4.73151259e+01 -3.40262540e-13 -2.97289704e-08  4.73151259e+01 -4.41905193e-13 -2.97289704e-08  4.73151259e+01  1.00000000e+00 -1.18915882e-05  4.73151259e+01  1.00000000e+00 -1.48644852e-05 
 5.01187234e+01  5.01187234e+01  0.00000000e+00  5.01187234e+01  1.00000000e+00 -1.73197874e-05  5.01187234e+01  1.00000000e+00 -1.57452613e-05  5.01187234e+01 -3.81783147e-13 -3.14905226e-08  5.01187234e+01 -4.95826904e-13 -3.14905226e-08  5.01187234e+01  1.00000000e+00 -1.25962090e-05  5.01187234e+01  1.00000000e+00 -1.57452613e-05 
 5.30884444e+01  5.30884444e+01  0.00000000e+00  5.30884444e+01  1.00000000e+00 -1.83460494e-05  5.30884444e+01  1.00000000e+00 -1.66782267e-05  5.30884444e+01 -4.28365676e-13 -3.33564534e-08  5.30884444e+01 -5.56326252e-13 -3.33564534e-08  5.30884444e+01  1.00000000e+00 -1.33425814e-05  5.30884444e+01  1.00000000e+00 -1.66782267e-05 
 5.62341325e+01  5.62341325e+01  0.00000000e+00  5.62341325e+01  1.00000000e+00 -1.94331211e-05  5.62341325e+01  1.00000000e+00 -1.76664738e-05  5.62341325e+01 -4.80639833e-13 -3.53329475e-08  5.62341325e+01 -6.24208584e-13 -3.53329475e-08  5.62341325e+01  1.00000000e+00 -1.41331790e-05  5.62341325e+01  1.00000000e+00 -1.76664738e-05 
 5.95662144e+01  5.95662144e+01  0.00000000e+00  5.95662144e+01  1.00000000e+00 -2.05846059e-05  5.95662144e+01  1.00000000e+00 -1.87132781e-05  5.95662144e+01 -5.39287365e-13 -3.74265563e-08  5.95662144e+01 -7.00373353e-13 -3.74265563e-08  5.95662144e+01  1.00000000e+00 -1.49706225e-05  5.95662144e+01  1.00000000e+00 -1.87132781e-05 
 6.30957344e+01  6.30957344e+01  0.00000000e+00  6.30957344e+01  1.00000000e+00 -2.18043205e-05  6.30957344e+01  1.00000000e+00 -1.98221096e-05  6.30957344e+01 -6.05087161e-13 -3.96442192e-08  6.30957344e+01 -7.85831903e-13 -3.96442191e-08  6.30957344e+01  1.00000000e+00 -1.58576877e-05  6.30957344e+01  1.00000000e+00 -1.98221096e-05 
 6.68343918e+01  6.68343918e+01  0.00000000e+00  6.68343918e+01  1.00000000e+00 -2.30963077e-05  6.68343918e+01  1.00000000e+00 -2.09966434e-05  6.68343918e+01 -6.78925666e-13 -4.19932868e-08  6.68343918e+01 -8.81718309e-13 -4.19932868e-08  6.68343918e+01  1.00000000e+00 -1.67973147e-05  6.68343918e+01  1.00000000e+00 -2.09966434e-05 
 7.07945784e+01  7.07945784e+01  0.00000000e+00  7.07945784e+01  9.99999999e-01 -2.44648500e-05  7.07945784e+01  1.00000000e+00 -2.22407727e-05  7.07945784e+01 -7.61763916e-13 -4.44815455e-08  7.07945784e+01 -9.89304125e-13 -4.44815455e-08  7.07945784e+01  1.00000000e+00 -1.77926182e-05  7.07945784e+01  1.00000000e+00 -2.22407727e-05 
 7.49894209e+01  7.49894209e+01  0.00000000e+00  7.49894209e+01  9.99999999e-01 -2.59144835e-05  7.49894209e+01  9.99999999e-01 -2.35586214e-05  7.49894209e+01 -8.54713869e-13 -4.71172428e-08  7.49894209e+01 -1.11001659e-12 -4.71172428e-08  7.49894209e+01  1.00000000e+00 -1.88468971e-05  7.49894209e+01  9.99999999e-01 -2.35586214e-05 
 7.94328235e+01  7.94328235e+01  0.00000000e+00  7.94328235e+01  9.99999999e-01 -2.74500132e-05  7.94328235e+01  9.99999999e-01 -2.49545575e-05  7.94328235e+01 -9.59000240e-13 -4.99091149e-08  7.94328235e+01 -1.24545990e-12 -4.99091149e-08  7.94328235e+01  1.00000000e+00 -1.99636460e-05  7.94328235e+01  9.99999999e-01 -2.49545575e-05 
 8.41395142e+01  8.41395142e+01  0.00000000e+00  8.41395142e+01  9.99999999e-01 -2.90765287e-05  8.41395142e+01  9.99999999e-01 -2.64332079e-05  8.41395142e+01 -1.07602122e-12 -5.28664159e-08  8.41395142e+01 -1.39742948e-12 -5.28664159e-08  8.41395142e+01  1.00000000e+00 -2.11465664e-05  8.41395142e+01  9.99999999e-01 -2.64332079e-05 
