 1.00000000e+01  1.00000000e+01  0.00000000e+00  1.00000000e+01  1.00000000e+00 -3.14159265e-06  1.00000000e+01 -1.97394184e-14 -6.28318531e-09  1.00000000e+01  1.00000000e+00 -3.14159265e-06 
 1.05925373e+01  1.05925373e+01  0.00000000e+00  1.05925373e+01  1.00000000e+00 -3.32774372e-06  1.05925373e+01 -2.21476483e-14 -6.65548744e-09  1.05925373e+01  1.00000000e+00 -3.32774372e-06 
 1.12201845e+01  1.12201845e+01  0.00000000e+00  1.12201845e+01  1.00000000e+00 -3.52492493e-06  1.12201845e+01 -2.48503475e-14 -7.04984987e-09  1.12201845e+01  1.00000000e+00 -3.52492493e-06 
 1.18850223e+01  1.18850223e+01  0.00000000e+00  1.18850223e+01  1.00000000e+00 -3.73378987e-06  1.18850223e+01 -2.78822104e-14 -7.46757973e-09  1.18850223e+01  1.00000000e+00 -3.73378987e-06 
 1.25892541e+01  1.25892541e+01  0.00000000e+00  1.25892541e+01  1.00000000e+00 -3.95503083e-06  1.25892541e+01 -3.12844368e-14 -7.91006165e-09  1.25892541e+01  1.00000000e+00 -3.95503083e-06 
 1.33352143e+01  1.33352143e+01  0.00000000e+00  1.33352143e+01  1.00000000e+00 -4.18938113e-06  1.33352143e+01 -3.51016959e-14 -8.37876227e-09  1.33352143e+01  1.00000000e+00 -4.18938113e-06 
 1.41253754e+01  1.41253754e+01  0.00000000e+00  1.41253754e+01  1.00000000e+00 -4.43761757e-06  1.41253754e+01 -3.93847281e-14 -8.87523515e-09  1.41253754e+01  1.00000000e+00 -4.43761757e-06 
 1.49623566e+01  1.49623566e+01  0.00000000e+00  1.49623566e+01  1.00000000e+00 -4.70056295e-06  1.49623566e+01 -4.41907795e-14 -9.40112589e-09  1.49623566e+01  1.00000000e+00 -4.70056295e-06 
 1.58489319e+01  1.58489319e+01  0.00000000e+00  1.58489319e+01  1.00000000e+00 -4.97908881e-06  1.58489319e+01 -4.95827338e-14 -9.95817762e-09  1.58489319e+01  1.00000000e+00 -4.97908881e-06 
 1.67880402e+01  1.67880402e+01  0.00000000e+00  1.67880402e+01  1.00000000e+00 -5.27411837e-06  1.67880402e+01 -5.56325819e-14 -1.05482367e-08  1.67880402e+01  1.00000000e+00 -5.27411837e-06 
 1.77827941e+01  1.77827941e+01  0.00000000e+00  1.77827941e+01  1.00000000e+00 -5.58662953e-06  1.77827941e+01 -6.24209885e-14 -1.11732591e-08  1.77827941e+01  1.00000000e+00 -5.58662953e-06 
 1.88364909e+01  1.88364909e+01  0.00000000e+00  1.88364909e+01  1.00000000e+00 -5.91765814e-06  1.88364909e+01 -7.00372919e-14 -1.18353163e-08  1.88364909e+01  1.00000000e+00 -5.91765814e-06 
 1.99526231e+01  1.99526231e+01  0.00000000e+00  1.99526231e+01  1.00000000e+00 -6.26830143e-06  1.99526231e+01 -7.85834071e-14 -1.25366029e-08  1.99526231e+01  1.00000000e+00 -6.26830143e-06 
 2.11348904e+01  2.11348904e+01  0.00000000e+00  2.11348904e+01  1.00000000e+00 -6.63972164e-06  2.11348904e+01 -8.81716575e-14 -1.32794433e-08  2.11348904e+01  1.00000000e+00 -6.63972164e-06 
 2.23872114e+01  2.23872114e+01  0.00000000e+00  2.23872114e+01  1.00000000e+00 -7.03314988e-06  2.23872114e+01 -9.89304125e-14 -1.40662998e-08  2.23872114e+01  1.00000000e+00 -7.03314988e-06 
 2.37137371e+01  2.37137371e+01  0.00000000e+00  2.37137371e+01  1.00000000e+00 -7.44989021e-06  2.37137371e+01 -1.11001919e-13 -1.48997804e-08  2.37137371e+01  1.00000000e+00 -7.44989021e-06 
